UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
111,1,40,0,2
111,2,60,0,2
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
111,1,50,0,1
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
111,1,40,0,2
111,2,0,30,2
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
111,1,30,0,2
111,2,40,0,1
111,3,0,30,2
111,4,40,0,1
111,5,30,0,1
111,6,60,0,2
111,7,60,0,1
111,8,20,0,2
111,9,0,50,1
111,10,0,20,2
111,11,60,0,2
111,12,40,0,2
111,13,50,0,2
111,14,50,0,2
111,15,0,40,2
111,16,0,60,2
111,17,0,30,2
111,18,50,0,1
111,19,0,40,1
111,20,0,20,2
111,21,0,50,1
111,22,0,20,1
111,23,0,30,2
111,24,20,0,2
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
222,1,0,20,2
222,2,40,0,1
222,3,40,0,1
222,4,60,0,1
222,5,60,0,1
222,6,40,0,1
222,7,40,0,1
222,8,30,0,1
222,9,30,0,1
222,10,30,0,1
222,11,30,0,1
222,12,0,60,1
222,13,0,60,1
222,14,20,0,1
222,15,40,0,1
222,16,30,0,1
222,17,0,30,1
222,18,0,50,1
222,19,0,60,2
222,20,0,60,2
222,21,50,0,1
222,22,0,20,2
222,23,20,0,2
222,24,50,0,1
222,25,50,0,1
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
333,1,0,50,2
333,2,0,20,2
333,3,50,0,1
333,4,30,0,1
333,5,0,60,1
333,6,40,0,2
333,7,20,0,1
333,8,60,0,2
333,9,20,0,1
333,10,0,30,2
333,11,0,60,2
333,12,0,60,2
333,13,20,0,1
333,14,0,30,1
333,15,0,60,2
333,16,0,50,2
333,17,0,40,1
333,18,0,50,2
333,19,40,0,1
333,20,0,40,2
333,21,0,40,2
333,22,50,0,1
333,23,30,0,1
333,24,20,0,1
333,25,30,0,1
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
444,1,50,0,2
444,2,50,0,2
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
555,1,0,20,1
555,2,50,0,2
555,3,0,30,2
555,4,0,50,2
555,5,0,30,2
555,6,0,30,2
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
666,1,10,0,1
666,2,0,10,2
666,3,0,10,2
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
666,1,30,0,2
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
666,1,10,0,2
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
666,1,10,0,2
666,2,10,0,2
666,3,0,10,2
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
666,1,30,0,2
666,2,30,0,2
666,3,0,30,2
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
666,1,50,0,2
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
666,1,70,0,2
666,2,0,70,1
666,3,0,70,2
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
666,1,0,50,1
666,2,10,0,2
666,3,10,0,2
666,4,20,0,2
666,5,0,30,1
666,6,0,40,2
666,7,0,40,1
666,8,50,0,2
666,9,50,0,2
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
UserID,TrialCount,Session1ProgressRate,Session2ProgressRate,weight
